Record,Total Beats,TP,FP,FN,Time (s),Sensitivity (%),Predictivity (%),Error Rate (%)
100,2269,2269,18,0,2.6966238021850586,100.0,99.21294271972016,0.7933010136624064
103,2082,2082,13,0,2.8035712242126465,100.0,99.37947494033413,0.6243996157540825
105,2569,2553,90,16,2.8828341960906982,99.37718956792526,96.59477866061293,4.126119112495134
111,2122,2121,112,1,2.4566335678100586,99.95287464655985,94.98432601880877,5.32516493873704
113,1792,1792,43,0,2.5701522827148438,100.0,97.6566757493188,2.3995535714285716
117,1533,1533,313,0,2.5167434215545654,100.0,83.04442036836403,20.417482061317678
121,1860,1859,22,1,2.681338310241699,99.94623655913979,98.83040935672514,1.2365591397849462
123,1516,1516,28,0,2.540562152862549,100.0,98.18652849740933,1.8469656992084433
200,2598,2598,35,0,2.633385419845581,100.0,98.67071781238131,1.3471901462663587
202,2133,2132,20,1,2.780792474746704,99.95311767463666,99.07063197026022,0.9845288326300985
210,2646,2646,32,0,2.388760566711426,100.0,98.8050784167289,1.2093726379440666
212,2745,2745,16,0,3.3047189712524414,100.0,99.4204998189062,0.5828779599271403
213,3247,3247,94,0,3.466552257537842,100.0,97.1864711164322,2.8949799815214043
214,2259,2258,41,1,2.88761305809021,99.95573262505533,98.2166159199652,1.859229747675963
219,2152,2152,18,0,2.961392879486084,100.0,99.17050691244239,0.8364312267657992
221,2424,2424,30,0,3.5394015312194824,100.0,98.77750611246944,1.2376237623762376
222,2480,2474,499,6,2.942312002182007,99.75806451612902,83.21560713084426,20.362903225806452
228,2051,2050,80,1,2.924769639968872,99.95124329595319,96.24413145539906,3.9492930277913216
231,1569,1569,399,0,3.7891056537628174,100.0,79.72560975609755,25.430210325047803
232,1779,1779,84,0,2.860229015350342,100.0,95.49114331723028,4.721753794266442
233,3075,3073,316,2,2.646080732345581,99.9349593495935,90.67571555030982,10.341463414634147
234,2750,2750,11,0,2.7142586708068848,100.0,99.60159362549801,0.4
